À—À˜’º”√◊ ‘¥±»¿˝	0
∏˙◊Ÿ’º”√◊ ‘¥±»¿˝	0.335625
≥…œÒ’º”√◊ ‘¥±»¿˝	0
ø’œ–◊ ‘¥±»¿˝	0.664375
 ±º‰(√Î)	∫Ωº£∫≈	¬À≤®–±æ‡(√◊)	’Ê÷µ–±æ‡(√◊)	¬À≤®∑ΩŒª(∂»)	’Ê÷µ∑ΩŒª(∂»)	¬À≤®∏©—ˆ(∂»)	’Ê÷µ∏©—ˆ(∂»)	¬À≤®ÀŸ∂»(m/s)	’Ê÷µÀŸ∂»(m/s)	RCS	∫Ωº£◊¥Ã¨
1347.6	0	2157060.0000	2236273.6113	349.0406	349.0404	29.9800	29.9797	-4063.3713	-4063.3712	-1.0000	µ„∫Ωº£
1348.0440	0	2234674.0138	2234469.7077	349.0163	349.0169	30.0236	30.0193	-4063.3713	-4062.3060	-1.0000	¡Ÿ ±∫Ωº£
1348.0440	1	2194715.6707	2234469.7077	349.0153	349.0169	30.0223	30.0193	-4063.3713	-4062.3060	-1.0000	µ„∫Ωº£
1348.2000	0	2234040.3908	2233836.0236	349.0098	349.0086	30.0303	30.0333	-4061.6859	-4061.9309	-1.0000	Œ»∂®∫Ωº£
1348.4000	1	2234817.4536	2233023.6866	348.9973	348.9980	30.0539	30.0512	-4063.3713	-4061.4492	-1.0000	¡Ÿ ±∫Ωº£
1348.4340	0	2233090.4600	2232885.5939	348.9950	348.9962	30.0478	30.0542	-4061.3468	-4061.3673	0.0000	Œ»∂®∫Ωº£
1348.6000	2	2155320.0000	2232211.4461	348.9868	348.9874	30.0692	30.0691	-4060.9668	-4060.9668	-1.0000	µ„∫Ωº£
1348.6440	0	2232237.6912	2232032.7606	348.9843	348.9851	30.0669	30.0730	-4061.1672	-4060.8606	0.0000	Œ»∂®∫Ωº£
1348.6780	1	2233687.8608	2231894.6946	348.9830	348.9833	30.0751	30.0760	-4063.2837	-4060.7784	-1.0000	Œ»∂®∫Ωº£
1348.8000	0	2231604.1683	2231399.3021	348.9763	348.9768	30.0820	30.0870	-4061.0335	-4060.4836	0.0000	Œ»∂®∫Ωº£
1348.8340	1	2233054.9966	2231261.2422	348.9747	348.9750	30.0881	30.0900	-4062.8024	-4060.4014	0.0000	Œ»∂®∫Ωº£
1348.8680	2	2155320.0000	2231123.1903	348.9868	348.9732	30.0692	30.0930	-4060.9668	-4060.3191	-1.0000	»°œ˚
