À—À˜’º”√◊ ‘¥±»¿˝	0.00869318
∏˙◊Ÿ’º”√◊ ‘¥±»¿˝	0.317314
≥…œÒ’º”√◊ ‘¥±»¿˝	0
ø’œ–◊ ‘¥±»¿˝	0.673992
 ±º‰(√Î)	∫Ωº£∫≈	¬À≤®–±æ‡(√◊)	’Ê÷µ–±æ‡(√◊)	¬À≤®∑ΩŒª(∂»)	’Ê÷µ∑ΩŒª(∂»)	¬À≤®∏©—ˆ(∂»)	’Ê÷µ∏©—ˆ(∂»)	¬À≤®ÀŸ∂»(m/s)	’Ê÷µÀŸ∂»(m/s)	RCS	∫Ωº£◊¥Ã¨
1350.6340	2	2224163.2901	2223956.4663	348.8788	348.8788	30.2515	30.2514	-4062.0368	-4056.0166	-1.0000	Œ»∂®∫Ωº£
1350.8000	1	2224165.0518	2223283.2073	348.8698	348.8698	30.2663	30.2663	-4059.3205	-4055.6090	-1.0000	Œ»∂®∫Ωº£
1350.8340	2	2223354.8756	2223145.3132	348.8679	348.8680	30.2694	30.2694	-4059.9514	-4055.5255	-1.0000	Œ»∂®∫Ωº£
1351.0000	1	2223355.5418	2222472.1357	348.8590	348.8591	30.2843	30.2843	-4058.6967	-4055.1173	-1.0000	Œ»∂®∫Ωº£
1351.0340	2	2222545.6966	2222334.2583	348.8572	348.8572	30.2874	30.2873	-4059.8840	-4055.0336	-1.0000	Œ»∂®∫Ωº£
1351.2000	1	2222545.6177	2221661.1626	348.8482	348.8483	30.3022	30.3023	-4058.9155	-4054.6247	-1.0000	Œ»∂®∫Ωº£
1351.2340	2	2221736.0121	2221523.3020	348.8464	348.8465	30.3054	30.3053	-4058.8346	-4054.5409	-1.0000	Œ»∂®∫Ωº£
1351.4000	1	2221735.4085	2220850.2881	348.8374	348.8375	30.3202	30.3203	-4058.1422	-4054.1314	-1.0000	Œ»∂®∫Ωº£
1351.4340	2	2220925.9106	2220712.4442	348.8357	348.8357	30.3234	30.3233	-4059.7190	-4054.0475	-1.0000	Œ»∂®∫Ωº£
1351.6000	1	2220925.0443	2220039.5123	348.8266	348.8267	30.3382	30.3383	-4056.5366	-4053.6373	-1.0000	Œ»∂®∫Ωº£
1351.6340	2	2220115.5285	2219901.6852	348.8248	348.8249	30.3414	30.3413	-4058.8796	-4053.5532	-1.0000	Œ»∂®∫Ωº£
1351.8000	1	2220114.5963	2219228.8354	348.8158	348.8159	30.3562	30.3563	-4055.5281	-4053.1424	-1.0000	Œ»∂®∫Ωº£
1351.8340	2	2219304.9274	2219091.0251	348.8140	348.8140	30.3594	30.3593	-4058.8722	-4053.0582	-1.0000	Œ»∂®∫Ωº£
1352.0000	1	2219304.0442	2218418.2575	348.8050	348.8050	30.3742	30.3743	-4056.5018	-4052.6467	-1.0000	Œ»∂®∫Ωº£
1352.0340	2	2218494.2089	2218280.4641	348.8032	348.8032	30.3774	30.3773	-4057.5229	-4052.5624	-1.0000	Œ»∂®∫Ωº£
1352.2000	1	2218493.4177	2217607.7789	348.7941	348.7942	30.3923	30.3923	-4056.2763	-4052.1502	-1.0000	Œ»∂®∫Ωº£
1352.2340	2	2217683.3897	2217470.0024	348.7924	348.7924	30.3954	30.3954	-4057.6234	-4052.0658	-1.0000	Œ»∂®∫Ωº£
1352.4000	1	2217682.7657	2216797.3996	348.7832	348.7834	30.4103	30.4103	-4055.1580	-4051.6530	-1.0000	Œ»∂®∫Ωº£
1352.4340	2	2216872.5058	2216659.6400	348.7815	348.7815	30.4135	30.4134	-4057.2546	-4051.5684	-1.0000	Œ»∂®∫Ωº£
