À—À˜’º”√◊ ‘¥±»¿˝	0
∏˙◊Ÿ’º”√◊ ‘¥±»¿˝	0.49858
≥…œÒ’º”√◊ ‘¥±»¿˝	0
ø’œ–◊ ‘¥±»¿˝	0.50142
 ±º‰(√Î)	∫Ωº£∫≈	¬À≤®–±æ‡(√◊)	’Ê÷µ–±æ‡(√◊)	¬À≤®∑ΩŒª(∂»)	’Ê÷µ∑ΩŒª(∂»)	¬À≤®∏©—ˆ(∂»)	’Ê÷µ∏©—ˆ(∂»)	¬À≤®ÀŸ∂»(m/s)	’Ê÷µÀŸ∂»(m/s)	RCS	∫Ωº£◊¥Ã¨
1350.4000	0	2225316.9475	2224905.6451	348.8913	348.8913	30.2304	30.2304	-4057.4621	-4056.5902	0.0000	Œ»∂®∫Ωº£
1350.4340	1	2225567.9846	2224767.7176	348.8895	348.8895	30.2335	30.2334	-4057.4399	-4056.5069	0.0000	Œ»∂®∫Ωº£
1350.4680	2	2224649.3575	2224629.7981	348.8879	348.8877	30.2344	30.2365	-4057.8581	-4056.4236	0.0000	Œ»∂®∫Ωº£
1350.6000	0	2224505.5078	2224094.3771	348.8806	348.8806	30.2485	30.2483	-4057.4231	-4056.1000	0.0000	Œ»∂®∫Ωº£
1350.6340	1	2224756.4761	2223956.4663	348.8787	348.8788	30.2516	30.2514	-4057.4045	-4056.0166	0.0000	Œ»∂®∫Ωº£
1350.6680	2	2223837.7181	2223818.5635	348.8776	348.8769	30.2528	30.2545	-4057.7435	-4055.9331	0.0000	Œ»∂®∫Ωº£
1350.8000	0	2223694.2058	2223283.2073	348.8698	348.8698	30.2665	30.2663	-4055.8714	-4055.6090	0.0000	Œ»∂®∫Ωº£
1350.8340	1	2223945.0497	2223145.3132	348.8680	348.8680	30.2697	30.2694	-4057.3634	-4055.5255	0.0000	Œ»∂®∫Ωº£
1350.8680	2	2223026.1636	2223007.4271	348.8670	348.8662	30.2708	30.2724	-4057.6348	-4055.4419	0.0000	Œ»∂®∫Ωº£
1351.0000	0	2222883.0105	2222472.1357	348.8591	348.8591	30.2845	30.2843	-4055.8540	-4055.1173	0.0000	Œ»∂®∫Ωº£
1351.0340	1	2223133.7601	2222334.2583	348.8572	348.8572	30.2877	30.2873	-4055.8094	-4055.0336	0.0000	Œ»∂®∫Ωº£
1351.0680	2	2222214.6957	2222196.3890	348.8560	348.8554	30.2891	30.2904	-4057.5251	-4054.9499	0.0000	Œ»∂®∫Ωº£
1351.2000	0	2222071.8984	2221661.1626	348.8483	348.8483	30.3026	30.3023	-4055.8297	-4054.6247	0.0000	Œ»∂®∫Ωº£
1351.2340	1	2222322.5776	2221523.3020	348.8464	348.8465	30.3058	30.3053	-4055.7896	-4054.5409	0.0000	Œ»∂®∫Ωº£
1351.2680	2	2221403.3686	2221385.4493	348.8448	348.8446	30.3073	30.3084	-4055.9067	-4054.4571	0.0000	Œ»∂®∫Ωº£
1351.4000	0	2221260.9188	2220850.2881	348.8375	348.8375	30.3206	30.3203	-4054.2909	-4054.1314	0.0000	Œ»∂®∫Ωº£
1351.4340	1	2221511.4785	2220712.4442	348.8357	348.8357	30.3238	30.3233	-4055.7629	-4054.0475	0.0000	Œ»∂®∫Ωº£
1351.4680	2	2220592.1366	2220574.6083	348.8340	348.8338	30.3253	30.3264	-4055.8272	-4053.9635	0.0000	Œ»∂®∫Ωº£
1351.6000	0	2220450.0433	2220039.5123	348.8267	348.8267	30.3387	30.3383	-4054.2851	-4053.6373	0.0000	Œ»∂®∫Ωº£
1351.6340	1	2220700.5113	2219901.6852	348.8249	348.8249	30.3419	30.3413	-4054.2217	-4053.5532	0.0000	Œ»∂®∫Ωº£
1351.6680	2	2219780.9932	2219763.8661	348.8237	348.8230	30.3435	30.3444	-4055.7480	-4053.4691	0.0000	Œ»∂®∫Ωº£
1351.8000	0	2219639.2529	2219228.8354	348.8159	348.8159	30.3567	30.3563	-4054.2712	-4053.1424	0.0000	Œ»∂®∫Ωº£
1351.8340	1	2219889.6484	2219091.0251	348.8141	348.8140	30.3599	30.3593	-4054.2137	-4053.0582	0.0000	Œ»∂®∫Ωº£
1351.8680	2	2218969.9896	2218953.2229	348.8128	348.8122	30.3615	30.3624	-4054.1617	-4052.9740	0.0000	Œ»∂®∫Ωº£
1352.0000	0	2218828.5316	2218418.2575	348.8050	348.8050	30.3747	30.3743	-4054.2414	-4052.6467	0.0000	Œ»∂®∫Ωº£
1352.0340	1	2219078.8721	2218280.4641	348.8032	348.8032	30.3779	30.3773	-4054.1979	-4052.5624	0.0000	Œ»∂®∫Ωº£
1352.0680	2	2218159.1122	2218142.6788	348.8014	348.8014	30.3796	30.3804	-4054.1155	-4052.4780	0.0000	Œ»∂®∫Ωº£
1352.2000	0	2218017.9249	2217607.7789	348.7942	348.7942	30.3928	30.3923	-4052.6898	-4052.1502	0.0000	Œ»∂®∫Ωº£
1352.2340	1	2218268.2219	2217470.0024	348.7924	348.7924	30.3960	30.3954	-4052.6661	-4052.0658	0.0000	Œ»∂®∫Ωº£
1352.2680	2	2217348.3190	2217332.2339	348.7907	348.7905	30.3979	30.3984	-4054.0659	-4051.9813	0.0000	Œ»∂®∫Ωº£
1352.4000	0	2217207.4132	2216797.3996	348.7833	348.7834	30.4108	30.4103	-4052.6663	-4051.6530	0.0000	Œ»∂®∫Ωº£
1352.4340	1	2217457.6757	2216659.6400	348.7815	348.7815	30.4140	30.4134	-4052.6665	-4051.5684	0.0000	Œ»∂®∫Ωº£
1352.4680	2	2216537.6598	2216521.8885	348.7798	348.7797	30.4161	30.4164	-4052.5060	-4051.4837	0.0000	Œ»∂®∫Ωº£
1352.6000	0	2216396.9800	2215987.1199	348.7725	348.7725	30.4289	30.4283	-4052.6314	-4051.1549	0.0000	Œ»∂®∫Ωº£
1352.6340	1	2216647.2159	2215849.3773	348.7707	348.7706	30.4321	30.4314	-4052.6581	-4051.0702	0.0000	Œ»∂®∫Ωº£
1352.6680	2	2215727.1026	2215711.6427	348.7688	348.7688	30.4340	30.4345	-4052.4834	-4050.9854	0.0000	Œ»∂®∫Ωº£
1352.8000	0	2215586.6668	2215176.9399	348.7616	348.7616	30.4469	30.4464	-4051.0781	-4050.6561	0.0000	Œ»∂®∫Ωº£
1352.8340	1	2215836.8805	2215039.2142	348.7598	348.7597	30.4501	30.4495	-4051.1326	-4050.5712	0.0000	Œ»∂®∫Ωº£
1352.8680	2	2214916.6446	2214901.4966	348.7580	348.7579	30.4522	30.4525	-4052.4577	-4050.4863	0.0000	Œ»∂®∫Ωº£
1353.0000	0	2214776.4528	2214366.8597	348.7507	348.7507	30.4650	30.4644	-4051.0558	-4050.1564	0.0000	Œ»∂®∫Ωº£
1353.0340	1	2215026.6474	2214229.1510	348.7489	348.7489	30.4682	30.4675	-4051.1383	-4050.0714	0.0000	Œ»∂®∫Ωº£
